image_id,ethnic_group,image_path,exists,file_bytes,sha256,width,height,format,mode,phash,dhash,ahash,has_exif,exif_keys
Dong_0024,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (12).jpeg,True,120570,74d8b411d25bf04901018cebf8c1969542609b23168e4fe3791cd3addb9c8dc0,800,1200,JPEG,RGB,dfc931dc83b19c03,f052b06860300ac8,fce818bc3cdc8000,False,
Dong_0025,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (120).jpeg,True,84206,d85cd14fd631b475bc6c7ac39d50fdb82eece40a68fcf86d7efea965703270b2,800,1081,JPEG,RGB,d62b598796196996,f0e4d4acecc4b4b5,180070f676745c14,False,
Dong_0026,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (121).jpeg,True,98285,0c97f4c3166a03930b40d2425d93400b1d369b53ae9f7cb30fb3017e480c0f6c,800,1067,JPEG,RGB,979710915967733a,d8fc6cc2e0c4c7f4,2e3e367878640000,False,
Dong_0027,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (122).jpeg,True,154143,6735907226bbc5dfe91f54fa713992b7a104b528e99da69bd203b7694123687e,800,1200,JPEG,RGB,9ccc026f5dde29b0,e2b73624166b6cbe,101fdffe83031700,False,
Dong_0028,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (123).jpeg,True,74529,71120c218b03f4b716e43d20a0df0da34c141e1d526976cee0bcadcd380d3cd5,800,1199,JPEG,RGB,8d8552e3266b66da,f0f2f2b6b2b2b2f0,183e1a1b1b1b1818,False,
Dong_0029,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (124).jpeg,True,112740,d545a026d40c4203fdb1c82b42e5b4942069e7b911034dcdfcef79e3d0f0efd2,800,1422,JPEG,RGB,cd3830c3e6713c57,d2f2b2f361f1c064,001818383c383810,False,
Dong_0030,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (125).jpeg,True,142373,cbf523c2fd7ba5ab2ba2ac8d0d723811ac06264e9a2dddb1d072519c278dbdd7,800,1200,JPEG,RGB,cc5b328cdb334d45,79a1717170b2ac64,181810fd38181736,False,
Dong_0031,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (126).jpeg,True,74057,6bf2dbf4805b0dd0a1cf1d84d4bbc203b07deceef838aeea309b56f820548483,500,667,JPEG,RGB,cd439d78f3364a81,d26363e3d3317663,78f83830f8981bb9,False,
Dong_0032,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (127).jpeg,True,114134,eed42592d4750990a97e9f64ffcfb387651758ad3d18bbbd246288df32a3d2b8,800,1200,JPEG,RGB,9a2665cc587313fa,516cc8b8b1b99999,00000c0c1c5cedcd,False,
Dong_0033,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (128).jpeg,True,83764,32c3c799ae78290d8cf30a7c9a46d46a605037690ed59ba9c7487024e60bef29,500,889,JPEG,RGB,8a3d6f22604fe371,d3f4f2e194cd71f0,003e3e3c667d183c,False,
Dong_0034,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (129).jpeg,True,1700,b11073585180e11b272e26aa9b8a1c6bcd91e217a49f12a02e33ddc3b53805ba,60,60,JPEG,RGB,89d8dafab2a2f860,397132ef1f524393,fdbcda0703000100,False,
Dong_0035,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (13).jpeg,True,42508,cbd0ef5edcfcd7aff26a45ac12cbd8280fb4dfed684af1229f46a0395550f3a5,500,667,JPEG,RGB,cd9160797a879746,93b3e454115bee27,08507effd8a8e0f0,False,
Dong_0036,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (130).jpeg,True,87035,23971e9c6b6742b84f4b3a71b667becbad5fb5a7fa534b4a6d9cb0b9bce9d412,800,1200,JPEG,RGB,92e46dc987869b8e,34391d8cb8191919,ffc0c40e0c0c0c0c,False,
Dong_0037,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (131).jpeg,True,150542,9fca3d7c658edcdf1820a790707b0e3aa6a569cf0adcf64adc2ba9f4acac1c0d,800,1200,JPEG,RGB,d9cc8e2455db8c59,51625a9a9a0b1a1a,f8f8f8e8c8c1c888,False,
Dong_0038,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (132).jpeg,True,125498,a03a7c6b9216fbbe033dec8241c3e0c776a9ef90167a71fb417c356d7e1ff6a2,800,1200,JPEG,RGB,eee51af8854a6196,0c0e466606933939,fff7f3f3f3c08000,False,
Dong_0039,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (133).jpeg,True,95605,ca92f0f7cced5b0f74841380b40d9b463178c8f07b809ea0e25b0973b29e9241,800,1067,JPEG,RGB,9b33668a5a55256d,59d87a3871f9f149,0c0c0f1e1d1f1c84,False,
Dong_0040,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (134).jpeg,True,65913,ab1ec73a72d760baae95053f05dfe36c579c1572b7f8d48dfb85c313a64c301e,1200,800,JPEG,RGB,d2255b9279cd126d,f8e4e4f4e9e9e9f9,3c3430787c3c3c3c,False,
Dong_0041,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (135).jpeg,True,113741,23326cf97aafffe3856517a8a3b56bfd4527d34fc68ae4251fb7880a19d347be,800,1422,JPEG,RGB,cd3030cfcb766c0e,92f2b3e261e1f0f2,001818383c381818,False,
Dong_0042,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (136).jpeg,True,30269,579de09e3a9e9fda57a88cdb208888acc554630dca1e03218ae8814ff32002fd,500,693,JPEG,RGB,e19696e599591c5a,0dac131287065393,f7f780cbc3e3e1eb,False,
Dong_0043,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (137).jpeg,True,116362,6a51147e9912d55991359f4eb5b5d8d17599946b79966d2dabc9c3a888251b4c,800,1067,JPEG,RGB,9939631652799c67,999bb2b8f4f8c9c9,0c0f5b5c1c1e28fc,False,
Dong_0044,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (138).jpeg,True,125170,a5f12bed14eb385a4daa30ea86748f5855b03bc85a34fd886f9a690d5f5724e4,800,1200,JPEG,RGB,9689d093ee948cf9,f8e8b2665a5c8c8c,ff7f1b030006c6e6,False,
Dong_0045,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (139).jpeg,True,64125,1a7e6f00a58314707ea7b97c51efe5e7cb883c9e704dc154d9ae33017e9c16fe,724,500,JPEG,RGB,c9927e4e36a4ec4a,55d1d1d6d156d656,b87c5d5f78787858,False,
Dong_0046,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (14).jpeg,True,154244,008d01945764ffeacf9c2dd05f302545d29e429376429761cb799a7abb57e9ce,800,1087,JPEG,RGB,a80977161671ef74,489bb3d3e1e39c1d,000151791df3c7ff,False,
Dong_0047,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (140).jpeg,True,53467,e70e18a87d6198dbe7f76594ecae5fa65e22825a01350ce07d059dc88cb481b9,500,750,JPEG,RGB,994f895b66c646a6,c013e0ce58989b93,38093c660c0ccf4f,False,
Dong_0048,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (141).jpeg,True,2238,b46dd01726468d1b74fabd31bb4a1d34edc8da1d12fc9208039d04804d5907dd,60,60,JPEG,RGB,fab46a1a9aaa9a32,194e8c5a54b92bcb,cde6ffff080000e1,False,
Dong_0049,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (142).jpeg,True,53487,b9aa25ffd75d0bdd3bfffb584b311bc25b1babfb90d4b71044e1acd8128478b4,500,843,JPEG,RGB,cc59a8494ebe3366,73f28462e252f5f5,18187e383838ff3b,False,
Dong_0050,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (143).jpeg,True,1410,1602b85d7c4fcd9fc7431a090d2fc5ed3390674fd0a62add573cddca9e2b9d48,60,60,JPEG,RGB,9c6840dec5bbf033,b4b53f72643058c4,f8100f9f1e9c8f34,False,
Dong_0051,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (144).jpeg,True,184806,5a2f1c85f1774e30c8624b252337e0addf415f68bbce25d3ce79d3972f57d6ad,800,1067,JPEG,RGB,daccd27ac7cda104,2121b673652928cc,fcfc5b1800048cec,False,
Dong_0052,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (145).jpeg,True,126793,34000b0bcd5f22e32384110d44b3b7b454cff20d362b9791be040e96b6deb833,800,1067,JPEG,RGB,847b720cf9a3565c,d1b764d7b4e4e68c,0001342f1b3e3777,False,
Dong_0053,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (146).jpeg,True,136333,9182aa2fd6be8dfb423937a6e28a46a103bbe1dd9fb7cd9442eaffdcb4b2d772,800,1200,JPEG,RGB,8fce80a9b086e7b9,e7e1e0651e4e7ffe,ff30303083230f07,False,
Dong_0054,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (147).jpeg,True,133312,224c9622b894eb32617eb6c338c04e623946411a2dc93ec83cab8cadf95556d6,800,1200,JPEG,RGB,afc7da18c50a7790,4a424e4646373101,ffffe3b3f70101e1,False,
Dong_0055,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (148).jpeg,True,78515,45b86780a9d65f27f130af32048add217789aac3be8ddc73fb53d9afcf23447d,500,750,JPEG,RGB,c9c9a28ae5e99b92,d3db9292b2b98d8c,fb28fedb18494004,False,
Dong_0056,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (149).jpeg,True,132941,6e4a8ef6f254c6b40093303a8802cb8121c1d4fe77b903c7aa3bca283fc3f2bc,800,1200,JPEG,RGB,b5f06e0f6c873a11,3c9e9e9e167b6a3c,8fffcf4f0f010f00,False,
Dong_0057,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (15).jpeg,True,139125,d97f9774031a81b6dcabcc0ddc29e6773343440198267997395b4a8f55a39d60,800,1200,JPEG,RGB,c1d862e699e6d2e1,8090d0f2522dc7c7,fff8783aab152300,False,
Dong_0058,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (150).jpeg,True,138081,8571cea52854a3c830a61d67163fc863989b9aa12316044ba60bf4ad637ec22c,800,1200,JPEG,RGB,e7f009bcc32d7087,180c8cc4cc2f3373,ffffe7e7e7810100,False,
Dong_0059,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (151).jpeg,True,57861,53360b8b1654885de7237937d702cc7ce54103c7242acf77c7342508c7ade11b,500,750,JPEG,RGB,d94e4a3574e243d3,b3f2c0141e9a9293,1018fcce8e0ad8d8,False,
Dong_0060,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (152).jpeg,True,51282,ff217530c0eae462dfb3938677d088a19b3f153d938a0b22eeb418473c7fc375,500,740,JPEG,RGB,c04cf8c1ec57cf86,9390e885c5d0988e,f8c800003078eeef,False,
Dong_0061,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (153).jpeg,True,48874,8b861e030540a898af24371813679d58c4e30d26bbf784dc6aa3e1ed4d9d4d8f,800,500,JPEG,RGB,9c2cd349c6b1ae96,f135343626335058,1910171212194cee,False,
Dong_0062,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (154).jpeg,True,89175,3b0e92c656a21651999626227d1cde901301cb5d1878f59e1d41302ed709e515,800,1066,JPEG,RGB,94c92a9479e69769,b1aae894b0fccc1c,0018fefefe3e0400,False,
Dong_0063,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (155).jpeg,True,155740,8365c1ca8ccc8292cbdc88b0bfcdc7bf67c28e832f3d28e9e582942470bcf8b8,800,1200,JPEG,RGB,953719596e80f963,be6a6aa4d692d2b2,0002fff7f0da7f08,False,
Dong_0064,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (156).jpeg,True,58331,ea485738fa52c3cec24bb55bd7073ac2803a0ac8e8d5a7a413c8bde1e38e5487,800,1200,JPEG,RGB,cc66b1392c9a67cc,106064a4f4727870,0030303010381c1e,False,
Dong_0065,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (157).jpeg,True,85292,fdddf6ba8c98a506a985e60bb610ba17ae95815dc3061316792453cfd23d6dd2,800,1200,JPEG,RGB,cd63267238cc3b9c,48c86272d1716472,202038381838383a,False,
Dong_0066,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (158).jpeg,True,151011,71a600f45a15b7c3b7603a042b47dcfb951b503da7beb71de992b5f49329b5ca,800,1200,JPEG,RGB,c15c3fe1d08aecc5,0068a0a9ceceebda,f800587f6e672d00,False,
Dong_0067,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (159).jpeg,True,164283,e713b04528922d0471a62444484f5485ad0f78a5f0f1ae35477e4e5fe6dd1867,800,1200,JPEG,RGB,f6da91932cec4313,3c9889a72ccc0ebe,fffffcd100000202,False,
Dong_0068,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (16).jpeg,True,138967,5e52779626d0bb16c03dad941250cfaac11070573b509ec7e561d0383728f980,800,1200,JPEG,RGB,9d9d33702d437067,5676723236b2682a,83bbbf9b92da2000,False,
Dong_0069,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (160).jpeg,True,157915,9efbe593609c99df6922a76a257a3e3ff6466348228c168509f2f9f99665c7b3,800,1200,JPEG,RGB,8d2ea3a3948dd687,6f9ff036d29bdbfc,0703181a0b486b3f,False,
Dong_0070,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (161).jpeg,True,158890,fd50e927911643aef41a8d75f405534e3f9550a1dda71c5ba7525fc49c52ae4e,800,1200,JPEG,RGB,c6b186b825e9db46,1cccc81204b1e1e4,fffffce800003030,False,
Dong_0071,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (162).jpeg,True,106948,110a41cee932577586f7fd30209b428eb2e1aea1c2777a24dfef1a630937bd4f,800,1200,JPEG,RGB,d212edd312e01ded,88c432cc59bba322,6c00000404fffbff,False,
Dong_0072,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (163).jpeg,True,121521,11a43257501bf312555746bc0a7469df588788d7e85935655742e110bb8ea9c9,800,1200,JPEG,RGB,e58a93c0ecd22dd9,feff7c240746585e,ff1f06d0f0e0e083,False,
Dong_0073,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (164).jpeg,True,130202,1636c7c3a98d933bc98e06bad5050d0bc771c5c4e0387b05485ad13e6ab26ca3,800,1200,JPEG,RGB,d2456b3f3aa1348e,e8e0d4b4b41cc5c5,28787e7e1e06f4f4,False,
Dong_0074,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (165).jpeg,True,149929,e1c803287edd62f232929898362f4876fef19ea53a57a2d6d9766528a076399d,800,1200,JPEG,RGB,aea2a099dd564acb,fe276f6473312776,1f07b1909818131f,False,
Dong_0075,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (166).jpeg,True,135975,f35b0ab6a63fb6973731d36b00424e5f5e5de8b43d54418aaf8c5ea83bab7332,800,1149,JPEG,RGB,9b92056d6bd69619,5555ddc95b751212,bfffffed09000800,False,
Dong_0076,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (167).jpeg,True,163425,c7b034db6615ab059e0a201ce1e9515881c0fe0034ba4678e8f2b79fb0c68199,800,1200,JPEG,RGB,936c345b346b9f60,3078682c9859d9dc,00001ebfffed6d4e,False,
Dong_0077,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (168).jpeg,True,134096,7391120b59921dac43bde6cba3669d242c987d3d4c12bab63b5b7121021506fb,800,1286,JPEG,RGB,ab9b856c2697e849,5551594d23276a16,fffffd2f81c00002,False,
Dong_0078,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (169).jpeg,True,156801,0b638087d6c39f6d312e9f1acf9ab34f4b35d17174eea0e478280c8a61fbf897,800,1170,JPEG,RGB,e9966649619516dd,97a1bd9b9bb35287,c7ffff4fc908c8c1,False,
Dong_0079,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (17).jpeg,True,81699,a9795a07364c13765df188b0f28be237ac4fe5fe32e9e275ccf1b5beaf4c5b0e,500,752,JPEG,RGB,de015c6e262cc47f,2050d84d45e43234,107c3e3f2476989e,False,
Dong_0080,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (170).jpeg,True,170335,1f811847b1257b384564724fe5752a5c03a51db0c278cdad80b508df56b16e94,800,1152,JPEG,RGB,fc1c2b89aba430b7,7320b4b41296071d,1b18d6dedbcbc3c5,False,
Dong_0081,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (171).jpeg,True,169222,940ed8c647bca8511ac9cf9047fe7b048e3350e51237f180fbf9abe6a2e9bb62,800,1083,JPEG,RGB,903373248accd5bf,8edc5af1f4b2a231,400f1f3d1f58f8f8,False,
Dong_0082,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (172).jpeg,True,60827,88baadd4c91f256f96e8abd2ed02eaca98331c80460c8ad728015c638278d4f4,500,667,JPEG,RGB,e45b31872db4199b,d89534a666e58c9e,00408892307ff7c3,False,
Dong_0083,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (173).jpeg,True,57142,290ebeeffe7f35cc917d844d59c95598e21c7cf1293fd0e1e57b700bfc878630,704,500,JPEG,RGB,c50d267ec8d0e337,6477c7b2940c8cce,1010717a5ee4e667,False,
Dong_0084,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (174).jpeg,True,176356,20092a3652c9844ac87918e5c8348dd4b9fac079780e553d159830481b89d9e8,800,1200,JPEG,RGB,fd006eb569898755,96ee789b1a183a03,03023fe9c68e8e80,False,
Dong_0085,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (175).jpeg,True,126362,1006afca07f991a04baa9a970013f983f81b0426b198c388f86df08cb8e5c9ed,800,1202,JPEG,RGB,f0c2f6c01fd0c3f4,98a091b3d7d60c1e,fe70f818737fc280,False,
Dong_0086,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (176).jpeg,True,115254,4258791f4989ce205f0929d513a243763bf554d9bf67bd7f4c0ede09ffaff334,800,1202,JPEG,RGB,e19ff4853f800f2c,80ccd1d153c2960f,fffe00080078c080,False,
Dong_0087,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (177).jpeg,True,111365,43e5a8867d58aadc648a2cbdcf2dfcc013b7b46d20037e1ea15c58d4afc5ad26,800,1202,JPEG,RGB,ecf7c59d94960690,c4828535377792c6,fef0c1858b80f060,False,
Dong_0088,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (178).jpeg,True,142171,1a253f84f9a2a36b1d2536c697c50f503a473c830ce60599365a98e360f40c56,800,1202,JPEG,RGB,ecc0ffc844c6b994,e0cbcee696322626,f8e8677350c0b282,False,
Dong_0089,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (179).jpeg,True,72525,379cf1615d5f1f1ec58b4b7eaadc8c3aefef7a2b26b837cd51ac62018156c414,800,1200,JPEG,RGB,b3dc6442166da4db,24ccea3899cdcbce,80ecff0e0e61e103,False,
Dong_0090,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (18).jpeg,True,150110,d8b68a5bc3dfa00335ebd4e30771295296d387ffc69463454b8128b643f47259,800,1199,JPEG,RGB,d622723dcb978926,8c8dc45070b26cc8,0444763e3c1ebefc,False,
Dong_0091,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (180).jpeg,True,77837,f76dd2473f182943c36d20b9f029d37fe9bc46ddbd43ae02173592ea3ed8a7ba,800,1200,JPEG,RGB,981e6525db49676a,5f34b8b8b99f9b07,001f1c1c1f4143c1,False,
Dong_0092,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (181).jpeg,True,84797,78692d7fd95542381763fd4129ac7704012052a309b0306910e0a8e8b929c39f,1200,800,JPEG,RGB,957a6a8cb3b144ce,e15af8da6e66faee,00000c0e3e3e3fff,False,
Dong_0093,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (182).jpeg,True,74427,b61ab5e76fcad51e83d68db7ae384d4033d2ccd59748714486cfb865977ca45e,800,1200,JPEG,RGB,97c166199a65f195,c22c2e39b91a262d,f8feff0f0c080287,False,
Dong_0094,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (183).jpeg,True,106367,f6a8196a7c5c1fc4660e3f0a8859601ae69aef9e9b34e97ae40107ae862ff95d,800,1200,JPEG,RGB,8f4b6873a4da7823,636b73644e5969a6,0120183f27ecfdff,False,
Dong_0095,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (184).jpeg,True,151645,c62fbfb3ce390e65401cc70818f1ebec37d282bd0f94063b7773880ab240457d,800,1200,JPEG,RGB,f59a121de19ed231,58eccc969696168e,fffefffbc24202c0,False,
Dong_0096,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (185).jpeg,True,107533,bba95ecef31a6834908dddca0a2cc6ba9b39b479dbe971120c66d6578bedd353,800,1200,JPEG,RGB,feb2c90152f2d8c3,8d2e29a5cc9e4833,ffbfffc6040080b8,False,
Dong_0097,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (186).jpeg,True,114834,376bafe30875e64a7b6cceda5a2c3a6d79f2ac307e608c2b2ebc122f18fc9b4a,800,1209,JPEG,RGB,eb94b54e3af90906,d4d4ca198d87879b,ff7f7fe961e1c1c1,False,
