model,language,true_group,mentioned_group,rate,n
qwen2-vl-7b,zh,Miao,Yi,0.0,100
qwen2-vl-7b,zh,Miao,Li,0.0,100
qwen2-vl-7b,zh,Miao,Tibetan,0.0,100
qwen2-vl-7b,zh,Miao,geo_mislocation,0.0,100
qwen2-vl-7b,zh,Dong,Miao,0.6,100
qwen2-vl-7b,zh,Dong,Dong,0.01,100
qwen2-vl-7b,zh,Dong,Yi,0.0,100
qwen2-vl-7b,zh,Dong,Li,0.0,100
qwen2-vl-7b,zh,Dong,Tibetan,0.0,100
qwen2-vl-7b,zh,Dong,geo_mislocation,0.0,100
qwen2-vl-7b,zh,Yi,Miao,0.47,100
qwen2-vl-7b,zh,Yi,Dong,0.0,100
qwen2-vl-7b,zh,Yi,Yi,0.06,100
qwen2-vl-7b,zh,Yi,Li,0.0,100
qwen2-vl-7b,zh,Yi,Tibetan,0.0,100
qwen2-vl-7b,zh,Yi,geo_mislocation,0.0,100
qwen2-vl-7b,zh,Li,Miao,0.21,100
qwen2-vl-7b,zh,Li,Dong,0.0,100
qwen2-vl-7b,zh,Li,Yi,0.0,100
qwen2-vl-7b,zh,Li,Li,0.01,100
qwen2-vl-7b,zh,Li,Tibetan,0.0,100
qwen2-vl-7b,zh,Li,geo_mislocation,0.02,100
qwen2-vl-7b,zh,Tibetan,Miao,0.01,100
qwen2-vl-7b,zh,Tibetan,Dong,0.0,100
qwen2-vl-7b,zh,Tibetan,Yi,0.0,100
qwen2-vl-7b,zh,Tibetan,Li,0.0,100
qwen2-vl-7b,zh,Tibetan,Tibetan,0.72,100
qwen2-vl-7b,zh,Tibetan,geo_mislocation,0.0,100
qwen2-vl-7b,en,Miao,Miao,0.01,100
qwen2-vl-7b,en,Miao,Dong,0.0,100
qwen2-vl-7b,en,Miao,Yi,0.0,100
qwen2-vl-7b,en,Miao,Li,0.0,100
qwen2-vl-7b,en,Miao,Tibetan,0.0,100
qwen2-vl-7b,en,Miao,geo_mislocation,0.01,100
qwen2-vl-7b,en,Dong,Miao,0.03,100
qwen2-vl-7b,en,Dong,Dong,0.0,100
qwen2-vl-7b,en,Dong,Yi,0.0,100
qwen2-vl-7b,en,Dong,Li,0.0,100
qwen2-vl-7b,en,Dong,Tibetan,0.0,100
qwen2-vl-7b,en,Dong,geo_mislocation,0.02,100
qwen2-vl-7b,en,Yi,Miao,0.0,100
qwen2-vl-7b,en,Yi,Dong,0.0,100
qwen2-vl-7b,en,Yi,Yi,0.01,100
qwen2-vl-7b,en,Yi,Li,0.0,100
qwen2-vl-7b,en,Yi,Tibetan,0.0,100
qwen2-vl-7b,en,Yi,geo_mislocation,0.0,100
qwen2-vl-7b,en,Li,Miao,0.01,100
qwen2-vl-7b,en,Li,Dong,0.0,100
qwen2-vl-7b,en,Li,Yi,0.0,100
qwen2-vl-7b,en,Li,Li,0.01,100
qwen2-vl-7b,en,Li,Tibetan,0.0,100
qwen2-vl-7b,en,Li,geo_mislocation,0.02,100
qwen2-vl-7b,en,Tibetan,Miao,0.0,100
qwen2-vl-7b,en,Tibetan,Dong,0.0,100
qwen2-vl-7b,en,Tibetan,Yi,0.0,100
qwen2-vl-7b,en,Tibetan,Li,0.0,100
qwen2-vl-7b,en,Tibetan,Tibetan,0.23,100
qwen2-vl-7b,en,Tibetan,geo_mislocation,0.0,100
llama-3.2-vision-11b,zh,Miao,Miao,0.6,100
llama-3.2-vision-11b,zh,Miao,Dong,0.01,100
llama-3.2-vision-11b,zh,Miao,Yi,0.0,100
llama-3.2-vision-11b,zh,Miao,Li,0.0,100
llama-3.2-vision-11b,zh,Miao,Tibetan,0.02,100
llama-3.2-vision-11b,zh,Miao,geo_mislocation,0.01,100
llama-3.2-vision-11b,zh,Dong,Miao,0.73,100
llama-3.2-vision-11b,zh,Dong,Dong,0.0,100
llama-3.2-vision-11b,zh,Dong,Yi,0.0,100
llama-3.2-vision-11b,zh,Dong,Li,0.0,100
llama-3.2-vision-11b,zh,Dong,Tibetan,0.0,100
llama-3.2-vision-11b,zh,Dong,geo_mislocation,0.0,100
llama-3.2-vision-11b,zh,Yi,Miao,0.33,100
llama-3.2-vision-11b,zh,Yi,Dong,0.0,100
llama-3.2-vision-11b,zh,Yi,Yi,0.0,100
llama-3.2-vision-11b,zh,Yi,Li,0.0,100
llama-3.2-vision-11b,zh,Yi,Tibetan,0.06,100
llama-3.2-vision-11b,zh,Yi,geo_mislocation,0.0,100
llama-3.2-vision-11b,zh,Li,Miao,0.41,100
llama-3.2-vision-11b,zh,Li,Dong,0.0,100
llama-3.2-vision-11b,zh,Li,Yi,0.0,100
llama-3.2-vision-11b,zh,Li,Li,0.0,100
llama-3.2-vision-11b,zh,Li,Tibetan,0.02,100
llama-3.2-vision-11b,zh,Li,geo_mislocation,0.0,100
llama-3.2-vision-11b,zh,Tibetan,Miao,0.0,100
llama-3.2-vision-11b,zh,Tibetan,Dong,0.0,100
llama-3.2-vision-11b,zh,Tibetan,Yi,0.0,100
llama-3.2-vision-11b,zh,Tibetan,Li,0.0,100
llama-3.2-vision-11b,zh,Tibetan,Tibetan,0.68,100
llama-3.2-vision-11b,zh,Tibetan,geo_mislocation,0.0,100
llama-3.2-vision-11b,en,Miao,Miao,0.91,100
llama-3.2-vision-11b,en,Miao,Dong,0.01,100
llama-3.2-vision-11b,en,Miao,Yi,0.0,100
llama-3.2-vision-11b,en,Miao,Li,0.0,100
llama-3.2-vision-11b,en,Miao,Tibetan,0.0,100
llama-3.2-vision-11b,en,Miao,geo_mislocation,0.01,100
llama-3.2-vision-11b,en,Dong,Miao,0.93,100
llama-3.2-vision-11b,en,Dong,Dong,0.01,100
llama-3.2-vision-11b,en,Dong,Yi,0.01,100
llama-3.2-vision-11b,en,Dong,Li,0.0,100
llama-3.2-vision-11b,en,Dong,Tibetan,0.0,100
llama-3.2-vision-11b,en,Dong,geo_mislocation,0.0,100
llama-3.2-vision-11b,en,Yi,Miao,0.48,100
llama-3.2-vision-11b,en,Yi,Dong,0.06,100
llama-3.2-vision-11b,en,Yi,Yi,0.0,100
llama-3.2-vision-11b,en,Yi,Li,0.0,100
llama-3.2-vision-11b,en,Yi,Tibetan,0.01,100
llama-3.2-vision-11b,en,Yi,geo_mislocation,0.12,100
llama-3.2-vision-11b,en,Li,Miao,0.48,100
llama-3.2-vision-11b,en,Li,Dong,0.04,100
llama-3.2-vision-11b,en,Li,Yi,0.0,100
llama-3.2-vision-11b,en,Li,Li,0.0,100
llama-3.2-vision-11b,en,Li,Tibetan,0.0,100
llama-3.2-vision-11b,en,Li,geo_mislocation,0.23,100
llama-3.2-vision-11b,en,Tibetan,Miao,0.0,100
llama-3.2-vision-11b,en,Tibetan,Dong,0.02,100
llama-3.2-vision-11b,en,Tibetan,Yi,0.01,100
llama-3.2-vision-11b,en,Tibetan,Li,0.0,100
llama-3.2-vision-11b,en,Tibetan,Tibetan,0.68,100
llama-3.2-vision-11b,en,Tibetan,geo_mislocation,0.01,100
gpt-4o-mini,zh,Miao,Miao,0.0,100
gpt-4o-mini,zh,Miao,Dong,0.0,100
gpt-4o-mini,zh,Miao,Yi,0.0,100
gpt-4o-mini,zh,Miao,Li,0.0,100
gpt-4o-mini,zh,Miao,Tibetan,0.0,100
gpt-4o-mini,zh,Miao,geo_mislocation,0.0,100
gpt-4o-mini,zh,Dong,Miao,0.0,100
gpt-4o-mini,zh,Dong,Dong,0.0,100
gpt-4o-mini,zh,Dong,Yi,0.0,100
gpt-4o-mini,zh,Dong,Li,0.0,100
gpt-4o-mini,zh,Dong,Tibetan,0.0,100
gpt-4o-mini,zh,Dong,geo_mislocation,0.0,100
gpt-4o-mini,zh,Yi,Miao,0.01,100
gpt-4o-mini,zh,Yi,Dong,0.01,100
gpt-4o-mini,zh,Yi,Yi,0.0,100
gpt-4o-mini,zh,Yi,Li,0.0,100
gpt-4o-mini,zh,Yi,Tibetan,0.0,100
gpt-4o-mini,zh,Yi,geo_mislocation,0.0,100
gpt-4o-mini,zh,Li,Miao,0.0,100
gpt-4o-mini,zh,Li,Dong,0.0,100
gpt-4o-mini,zh,Li,Yi,0.0,100
gpt-4o-mini,zh,Li,Li,0.0,100
gpt-4o-mini,zh,Li,Tibetan,0.0,100
gpt-4o-mini,zh,Li,geo_mislocation,0.0,100
gpt-4o-mini,zh,Tibetan,Miao,0.0,100
gpt-4o-mini,zh,Tibetan,Dong,0.0,100
gpt-4o-mini,zh,Tibetan,Yi,0.0,100
gpt-4o-mini,zh,Tibetan,Li,0.0,100
gpt-4o-mini,zh,Tibetan,Tibetan,0.01,100
gpt-4o-mini,zh,Tibetan,geo_mislocation,0.0,100
gpt-4o-mini,en,Miao,Miao,0.06,100
gpt-4o-mini,en,Miao,Dong,0.0,100
gpt-4o-mini,en,Miao,Yi,0.0,100
gpt-4o-mini,en,Miao,Li,0.0,100
gpt-4o-mini,en,Miao,Tibetan,0.0,100
gpt-4o-mini,en,Miao,geo_mislocation,0.02,100
gpt-4o-mini,en,Dong,Miao,0.11,100
gpt-4o-mini,en,Dong,Dong,0.0,100
gpt-4o-mini,en,Dong,Yi,0.0,100
gpt-4o-mini,en,Dong,Li,0.0,100
gpt-4o-mini,en,Dong,Tibetan,0.0,100
gpt-4o-mini,en,Dong,geo_mislocation,0.01,100
gpt-4o-mini,en,Yi,Miao,0.07,100
gpt-4o-mini,en,Yi,Dong,0.0,100
gpt-4o-mini,en,Yi,Yi,0.02,100
gpt-4o-mini,en,Yi,Li,0.0,100
gpt-4o-mini,en,Yi,Tibetan,0.0,100
gpt-4o-mini,en,Yi,geo_mislocation,0.05,100
gpt-4o-mini,en,Li,Miao,0.05,100
gpt-4o-mini,en,Li,Dong,0.0,100
gpt-4o-mini,en,Li,Yi,0.01,100
gpt-4o-mini,en,Li,Li,0.0,100
gpt-4o-mini,en,Li,Tibetan,0.0,100
gpt-4o-mini,en,Li,geo_mislocation,0.07,100
gpt-4o-mini,en,Tibetan,Miao,0.0,100
gpt-4o-mini,en,Tibetan,Dong,0.0,100
gpt-4o-mini,en,Tibetan,Yi,0.0,100
gpt-4o-mini,en,Tibetan,Li,0.0,100
gpt-4o-mini,en,Tibetan,Tibetan,0.14,100
gpt-4o-mini,en,Tibetan,geo_mislocation,0.0,100
claude-haiku-4.5,zh,Miao,Miao,0.65,100
claude-haiku-4.5,zh,Miao,Dong,0.59,100
claude-haiku-4.5,zh,Miao,Yi,0.0,100
claude-haiku-4.5,zh,Miao,Li,0.0,100
claude-haiku-4.5,zh,Miao,Tibetan,0.0,100
claude-haiku-4.5,zh,Miao,geo_mislocation,0.06,100
claude-haiku-4.5,zh,Dong,Miao,0.56,100
claude-haiku-4.5,zh,Dong,Dong,0.66,100
claude-haiku-4.5,zh,Dong,Yi,0.0,100
claude-haiku-4.5,zh,Dong,Li,0.0,100
claude-haiku-4.5,zh,Dong,Tibetan,0.0,100
claude-haiku-4.5,zh,Dong,geo_mislocation,0.04,100
claude-haiku-4.5,zh,Yi,Miao,0.51,100
claude-haiku-4.5,zh,Yi,Dong,0.57,100
claude-haiku-4.5,zh,Yi,Yi,0.01,100
claude-haiku-4.5,zh,Yi,Li,0.0,100
claude-haiku-4.5,zh,Yi,Tibetan,0.01,100
claude-haiku-4.5,zh,Yi,geo_mislocation,0.1,100
claude-haiku-4.5,zh,Li,Miao,0.33,100
claude-haiku-4.5,zh,Li,Dong,0.42,100
claude-haiku-4.5,zh,Li,Yi,0.0,100
claude-haiku-4.5,zh,Li,Li,0.0,100
claude-haiku-4.5,zh,Li,Tibetan,0.0,100
claude-haiku-4.5,zh,Li,geo_mislocation,0.43,100
claude-haiku-4.5,zh,Tibetan,Miao,0.13,100
claude-haiku-4.5,zh,Tibetan,Dong,0.12,100
claude-haiku-4.5,zh,Tibetan,Yi,0.04,100
claude-haiku-4.5,zh,Tibetan,Li,0.0,100
claude-haiku-4.5,zh,Tibetan,Tibetan,0.38,100
claude-haiku-4.5,zh,Tibetan,geo_mislocation,0.02,100
claude-haiku-4.5,en,Miao,Miao,0.58,100
claude-haiku-4.5,en,Miao,Dong,0.11,100
claude-haiku-4.5,en,Miao,Yi,0.0,100
claude-haiku-4.5,en,Miao,Li,0.0,100
claude-haiku-4.5,en,Miao,Tibetan,0.0,100
claude-haiku-4.5,en,Miao,geo_mislocation,0.11,100
claude-haiku-4.5,en,Dong,Miao,0.64,100
claude-haiku-4.5,en,Dong,Dong,0.19,100
claude-haiku-4.5,en,Dong,Yi,0.0,100
claude-haiku-4.5,en,Dong,Li,0.0,100
claude-haiku-4.5,en,Dong,Tibetan,0.0,100
claude-haiku-4.5,en,Dong,geo_mislocation,0.08,100
claude-haiku-4.5,en,Yi,Miao,0.39,100
claude-haiku-4.5,en,Yi,Dong,0.13,100
claude-haiku-4.5,en,Yi,Yi,0.01,100
claude-haiku-4.5,en,Yi,Li,0.0,100
claude-haiku-4.5,en,Yi,Tibetan,0.01,100
claude-haiku-4.5,en,Yi,geo_mislocation,0.13,100
claude-haiku-4.5,en,Li,Miao,0.26,100
claude-haiku-4.5,en,Li,Dong,0.05,100
claude-haiku-4.5,en,Li,Yi,0.0,100
claude-haiku-4.5,en,Li,Li,0.0,100
claude-haiku-4.5,en,Li,Tibetan,0.0,100
claude-haiku-4.5,en,Li,geo_mislocation,0.51,100
claude-haiku-4.5,en,Tibetan,Miao,0.07,100
claude-haiku-4.5,en,Tibetan,Dong,0.02,100
claude-haiku-4.5,en,Tibetan,Yi,0.0,100
claude-haiku-4.5,en,Tibetan,Li,0.0,100
claude-haiku-4.5,en,Tibetan,Tibetan,0.33,100
claude-haiku-4.5,en,Tibetan,geo_mislocation,0.09,100
